Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
5             21            SameContext   1453          d             acquarium.jpg  115.059       113.55 
5             22            SameContext   748           d             Acabinetwithm.jpg            120.58        119.071 
5             23            SameContext   1579          d             APOTGOLD2.jpg  126.101       124.592 
5             24            SameContext   962           f             ACAMPFIRE.jpg  131.622       130.113 
5             25            Boundary      977           j             APEPPSHA4.jpg  137.143       135.634 
5             26            SameContext   1152          k             A95CHEROK.jpg  142.664       141.155 
5             27            SameContext   855           j             AHAMPER.jpg    148.185       146.676 
5             28            SameContext   1006          j             Achair618.jpg  153.706       152.197 
5             29            SameContext   1661          j             AEAREXAM2.jpg  159.227       157.718 
5             30            SameContext   1116          j             Abucketwithcl.jpg            164.748       163.239 
5             31            SameContext   843           j             ANUTCRA10.jpg  170.269       168.76 
5             32            Last          2250          j             Abeverageingl.jpg            175.79        174.282 
6             1             First         0             NoResponse    Acanoe19.jpg   4.654         3.145 
6             2             SameContext   816           f             ABROKUMBR.jpg  10.175        8.666 
6             3             SameContext   1703          f             AAIRPUMP2.jpg  15.696        14.187 
6             4             SameContext   1687          f             Adog122.jpg    21.217        19.708 
6             5             SameContext   1277          f             airhorn.jpg    26.738        25.229 
6             6             SameContext   716           f             Adaisies3.jpg  32.259        30.75 
6             7             SameContext   2164          f             Acamera101.jpg               37.78         36.271 
6             8             SameContext   1171          f             AASPHALT.jpg   43.301        41.793 
6             9             Boundary      1385          k             AARCHERY.jpg   48.822        47.314 
6             10            SameContext   2144          k             Apitchfork4.jpg              54.343        52.835 
6             11            SameContext   1327          k             Acorn10.jpg    59.865        58.356 
6             12            SameContext   1198          j             Aantiquejuke2.jpg            65.386        63.877 
6             13            SameContext   0             NoResponse    Abluebabybug4.jpg            70.907        69.398 
6             14            SameContext   1243          j             ABATHTUB3.jpg  76.428        74.919 
6             15            SameContext   1162          k             ABUDDHA18.jpg  81.949        80.44 
6             16            SameContext   0             NoResponse    AMOUSWHEE.jpg  87.47         85.961 
6             17            Boundary      681           f             ACONSTHA2.jpg  92.991        91.482 
6             18            SameContext   1272          f             Abaggcon2.jpg  98.512        97.003 
6             19            SameContext   1662          d             Ababmonit.jpg  104.033       102.524 
6             20            SameContext   2213          f             Aammonitefo14.jpg            109.554       108.045 
6             21            SameContext   0             NoResponse    AKNIFECOL.jpg  115.075       113.566 
6             22            SameContext   643           f             APICKLES6.jpg  120.596       119.087 
6             23            SameContext   1522          f             AOPGLASS.jpg   126.117       124.609 
6             24            SameContext   1561          d             ACAT6.jpg      131.638       130.13 
6             25            Boundary      881           j             AMICROWA2.jpg  137.159       135.651 
6             26            SameContext   1671          j             ACOFFPOT3.jpg  142.68        141.172 
6             27            SameContext   1934          k             ACHRIST14.jpg  148.201       146.693 
6             28            SameContext   1252          k             Abaleofhay.jpg               153.723       152.214 
6             29            SameContext   2115          k             Aantiquebuck2.jpg            159.244       157.735 
6             30            SameContext   1778          k             AEIFFELTO.jpg  164.765       163.256 
6             31            SameContext   1290          k             Abrooch100.jpg               170.286       168.777 
6             32            Last          1313          k             Achrisd25.jpg  175.807       174.298 
7             1             First         933           d             ABEDROOM8.jpg  4.602         3.093 
7             2             SameContext   1148          d             A_coin.jpg     10.123        8.614 
7             3             SameContext   1268          f             AHORSHOE2.jpg  15.644        14.135 
7             4             SameContext   2002          d             ACANDLE30.jpg  21.165        19.657 
7             5             SameContext   922           d             A3bday5.jpg    26.686        25.178 
7             6             SameContext   1064          d             AFRAME15.jpg   32.207        30.699 
7             7             SameContext   735           d             Abellcookiec3.jpg            37.728        36.22 
7             8             SameContext   1093          f             Afloweredsan3.jpg            43.25         41.741 
7             9             Boundary      860           j             Ablackboardw3.jpg            48.771        47.262 
7             10            SameContext   1483          j             Abowlofporrid.jpg            54.292        52.783 
7             11            SameContext   2202          k             AARTPLANT.jpg  59.813        58.304 
7             12            SameContext   2097          k             ABUMBBE2.jpg   65.334        63.825 
7             13            SameContext   792           j             Aglasscontai3.jpg            70.855        69.346 
7             14            SameContext   0             NoResponse    AMANJUI2.jpg   76.376        74.867 
7             15            SameContext   1710          k             AFOUNTAI5.jpg  81.897        80.388 
7             16            SameContext   0             NoResponse    ABLACKNEC.jpg  87.418        85.909 
7             17            Boundary      836           d             ACHESSPI4.jpg  92.939        91.43 
7             18            SameContext   643           d             AORGAN.jpg     98.46         96.951 
7             19            SameContext   810           f             ADRILL3.jpg    103.981       102.472 
7             20            SameContext   993           f             Aboots56.jpg   109.502       107.993 
7             21            SameContext   1696          d             Aeasteregg14.jpg             115.023       113.515 
7             22            SameContext   1015          d             AFOODBLEN.jpg  120.544       119.036 
7             23            SameContext   1414          d             Acartonofegg3.jpg            126.065       124.557 
7             24            SameContext   804           f             ABARPEAR.jpg   131.587       130.078 
7             25            Boundary      1787          k             ABROCHETT.jpg  137.108       135.599 
7             26            SameContext   858           k             Aflowerpot9.jpg              142.629       141.12 
7             27            SameContext   977           j             ADUSTER5.jpg   148.15        146.641 
7             28            SameContext   1416          j             ABLOODCEA.jpg  153.671       152.162 
7             29            SameContext   1023          k             Aallterrain10.jpg            159.192       157.683 
7             30            SameContext   1934          k             Acoral7.jpg    164.713       163.204 
7             31            SameContext   0             NoResponse    Abandleaders2.jpg            170.234       168.725 
7             32            Last          1140          k             ACONSTRU9.jpg  175.755       174.246 
8             1             First         1033          f             Alifeves2.jpg  4.63          3.121 
8             2             SameContext   937           f             ADOGSNACK.jpg  10.151        8.642 
8             3             SameContext   1551          d             Aboxofchocola.jpg            15.672        14.163 
8             4             SameContext   1342          d             Akeyboard3.jpg               21.193        19.684 
8             5             SameContext   1533          f             ABACKHOE2.jpg  26.714        25.206 
8             6             SameContext   0             NoResponse    Abottleopener.jpg            32.235        30.727 
8             7             SameContext   883           f             AFERRY5.jpg    37.756        36.248 
8             8             SameContext   1058          d             Abinder6.jpg   43.277        41.769 
8             9             Boundary      1056          k             AHYDRANTF.jpg  48.799        47.29 
8             10            SameContext   1423          k             Abuilding5.jpg               54.32         52.811 
8             11            SameContext   1518          k             ACOMB11.jpg    59.841        58.332 
8             12            SameContext   1357          k             Agolfbag.jpg   65.362        63.853 
8             13            SameContext   2204          k             Agasblower2.jpg              70.883        69.374 
8             14            SameContext   1139          k             AELECBE17.jpg  76.404        74.895 
8             15            SameContext   1370          j             ABLLIGHTB.jpg  81.925        80.416 
8             16            SameContext   1337          j             AGARLICCO.jpg  87.446        85.937 
8             17            Boundary      808           f             ABULLDOG5.jpg  92.967        91.458 
8             18            SameContext   1335          d             Abreakpl2.jpg  98.488        96.979 
8             19            SameContext   1094          f             AARTICHO1.jpg  104.009       102.5 
8             20            SameContext   1069          d             A_teabag.jpg   109.53        108.021 
8             21            SameContext   1076          f             ANWSPAPER.jpg  115.051       113.543 
8             22            SameContext   611           f             angelfish.jpg  120.572       119.064 
8             23            SameContext   970           f             ACANTELOP.jpg  126.093       124.585 
8             24            SameContext   969           f             Afoodgrinder2.jpg            131.614       130.106 
8             25            Boundary      791           k             AFISHNET3.jpg  137.136       135.627 
8             26            SameContext   886           k             AARTIVE6.jpg   142.657       141.148 
8             27            SameContext   1357          k             Abaseballcap.jpg             148.178       146.669 
8             28            SameContext   1660          k             AMIXER1.jpg    153.699       152.19 
8             29            SameContext   1379          j             Ameasuringsp5.jpg            159.22        157.711 
8             30            SameContext   1266          j             ACANOL.jpg     164.741       163.232 
8             31            SameContext   1841          k             Abloodorange.jpg             170.262       168.753 
8             32            Last          960           k             ADINGHY.jpg    175.783       174.274 
9             1             First         1544          k             ADRYWOOD.jpg   4.624         3.115 
9             2             SameContext   1119          k             A3leafcl4.jpg  10.145        8.636 
9             3             SameContext   918           j             Ahourglass4.jpg              15.666        14.157 
9             4             SameContext   797           j             Aconferencer3.jpg            21.187        19.678 
9             5             SameContext   1548          j             Anailscissors.jpg            26.708        25.199 
9             6             SameContext   715           k             aardvark.jpg   32.229        30.721 
9             7             SameContext   1498          j             Apaperclip6.jpg              37.75         36.242 
9             8             SameContext   1241          j             Aopenbriefcas.jpg            43.271        41.763 
9             9             Boundary      1703          f             AANTTRUCK.jpg  48.793        47.284 
9             10            SameContext   1814          d             ACATCAGE.jpg   54.314        52.805 
9             11            SameContext   1749          d             Abugle12.jpg   59.835        58.326 
